tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
0,1789650174.691829443,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
1,1789650174.700952053,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
2,1789650174.710949183,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
3,1789650174.720949650,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
4,1789650174.730950117,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
5,1789650174.740951300,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
6,1789650174.750950336,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
7,1789650174.760949612,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
8,1789650174.770948410,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
9,1789650174.781753302,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
10,1789650174.790958643,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
11,1789650174.800955057,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
12,1789650174.810951233,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
13,1789650174.821755886,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
14,1789650174.830955505,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
15,1789650174.840963602,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
16,1789650174.850961447,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
17,1789650174.861768961,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
18,1789650174.870953321,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
19,1789650174.881008148,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
20,1789650174.890933037,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
21,1789650174.900933743,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
22,1789650174.911699057,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
23,1789650174.920934677,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
24,1789650174.930930376,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
25,1789650174.940925121,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
26,1789650174.950929165,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
27,1789650174.960929632,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
28,1789650174.970933199,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
29,1789650174.981726646,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
30,1789650174.990922451,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
31,1789650175.000921249,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
32,1789650175.010929346,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
33,1789650175.020923138,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
34,1789650175.030925035,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
35,1789650175.040920496,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
36,1789650175.050933361,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
37,1789650175.060930014,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
38,1789650175.071407318,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
39,1789650175.080930233,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
40,1789650175.090953827,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
41,1789650175.100932837,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
42,1789650175.110930443,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
43,1789650175.120960474,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
44,1789650175.130938292,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
45,1789650175.140936136,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
46,1789650175.150947094,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
47,1789650175.160975456,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
48,1789650175.171006441,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
49,1789650175.181096077,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
50,1789650175.191210032,0.000000000,0,1,0,3,0,1,0.000000000,0.000000000,0
